date,mark
1970-01-01,4
2019-03-10,-4
2019-05-04,0
2021-03-29,-5
2021-04-18,-5
2021-06-24,1
2022-06-10,-3
2022-06-12,4
2022-07-10,-4
2022-10-13,-5
2022-10-15,-4
2022-10-24,-3
2022-10-27,-10
2022-11-15,-4
2022-11-25,-4
2022-11-26,-5
2022-12-10,-4
2023-01-03,-5
2023-01-14,-5
2023-01-16,-4
2023-03-04,-5
2023-03-15,-10
2023-03-16,-8
2023-03-17,-8
2023-03-19,-5
2023-03-20,-20
2023-03-21,-14
2023-03-22,-10
2023-03-23,-23
2023-03-25,-9
2023-03-28,-5
2023-03-29,-5
2023-04-04,-5
2023-04-09,-5
2023-04-12,-3
2023-04-25,-5
2023-05-06,-5
2023-05-12,-4
2023-05-17,-10
2023-06-20,-3
2023-07-11,-8
2023-09-06,-5
2023-10-20,-4
2023-11-15,-3
2023-11-16,-5
2023-12-06,-10
2023-12-19,-10
2023-12-20,-10
2023-12-30,-5
2024-01-07,-5
2024-01-19,-4
2024-02-27,-2
2024-03-27,-2
2024-03-28,-1
2024-04-18,-4
2024-04-25,-4
2024-08-14,-2
2024-10-25,-5
2025-01-22,-3
2025-01-27,-4
2025-05-14,-4
